Adresse,Post nr.,Pris,År,Størrelse (m2),Værelser,Toiletter,Handel
Brolandvej 10B,"Bullerup, 5320 Agedrup",1650000.0,2024,186,5,2,Fri handel
"Østre Stationsvej 41B, 2.",5000 Odense C,3800000.0,2024,201,5,2,Fri handel
Stenløsevej 208,"Hjallese, 5260 Odense S",4500000.0,2024,87,3,1,Fri handel
"Ingemannsvej 25, 1.",5230 Odense M,3450000.0,2024,89,3,1,Fri handel
"Ingemannsvej 25, st.",5230 Odense M,3450000.0,2024,114,3,1,Fri handel
Kronhjortløkken 82,"Korup, 5210 Odense NV",2400000.0,2024,132,4,2,Fri handel
Næsbyhave 61,"Næsby, 5270 Odense N",1195000.0,2024,76,3,1,Fri handel
Åsumvej 131A,5240 Odense NØ,1890000.0,2024,127,4,2,Fri handel
Utzons Allé 8,5240 Odense NØ,2850000.0,2024,144,5,2,Fri handel
Åløkken 54,"Bellinge, 5250 Odense SV",2600000.0,2024,169,6,2,Fri handel
H.C. Lumbyes Vej 50,"Lumby, 5270 Odense N",4450000.0,2024,245,10,1,Fri handel
Søballehøjen 36,"Næsbyhoved-Broby, 5270 Odense N",1750000.0,2024,127,3,2,Fri handel
Rensdyrløkken 9,"Slukefter, 5210 Odense NV",975000.0,2024,91,4,1,Fri handel
Tønnesvej 3,"Søhus, 5270 Odense N",2100000.0,2024,153,7,1,Fri handel
"Oppermannsvej 1, 2. th.",5230 Odense M,1660000.0,2024,71,3,1,Fri handel
Åløkkehaven 25,5000 Odense C,1870000.0,2024,160,6,2,Fri handel
H.C. Lumbyes Vej 27,"Lumby, 5270 Odense N",1025000.0,2024,95,4,1,Fri handel
Hødersvej 16,"Bolbro, 5200 Odense V",2975000.0,2024,148,6,2,Fri handel
Svenstrupvej 11,"Skt Klemens, 5260 Odense S",2780000.0,2024,161,5,2,Fri handel
"Englandsgade 20, 1. th.",5000 Odense C,5550000.0,2024,128,3,2,Fri handel
Højby Allé 43,"Højby, 5260 Odense S",1650000.0,2024,100,3,1,Fri handel
Kirkegårds Allé 31B,5000 Odense C,5250000.0,2024,203,4,1,Fri handel
Oehlenschlægersvej 27,5230 Odense M,7100000.0,2024,206,6,3,Fri handel
Helleløkken 2K,"Brændekilde, 5250 Odense SV",2225000.0,2024,162,5,2,Fri handel
Bjergmarken 30,"Hjallese, 5260 Odense S",1750000.0,2024,112,5,2,Fri handel
"Haraldsgade 13, st.",5000 Odense C,1750000.0,2024,84,3,1,Fri handel
Tirsvej 1,"Bolbro, 5200 Odense V",1450000.0,2024,87,2,1,Fri handel
Hjulets Kvarter 21,"Holluf Pile, 5220 Odense SØ",1580000.0,2024,76,3,1,Fri handel
Elisabeths Allé 19,"Dalum, 5250 Odense SV",3800000.0,2024,174,5,1,Fri handel
Tornskadevænget 6,"Snestrup, 5210 Odense NV",1900000.0,2024,119,6,1,Fri handel
Lindved Møllevej 65,"Lindved, 5260 Odense S",2437500.0,2024,149,8,2,Fri handel
Zahrtmannsvej 10,5230 Odense M,2640000.0,2024,90,4,1,Fri handel
Persillehaven 9,"Bullerup, 5320 Agedrup",3650000.0,2024,179,5,2,Fri handel
"Æbleparken 124, 2.","Søhus, 5270 Odense N",680000.0,2024,59,2,1,Fri handel
"Lahnsgade 45, 1. tv.",5000 Odense C,2450000.0,2024,92,3,1,Fri handel
Græshoppevænget 12,"Hjallese, 5260 Odense S",1700000.0,2024,100,4,1,Fri handel
Berberisvænget 16,"Korup, 5210 Odense NV",1995000.0,2024,96,4,1,Fri handel
Dragebakken 508,"Sanderum, 5250 Odense SV",2730000.0,2024,120,4,2,Fri handel
"Carl Nielsens Kvarter 35, 2. th.",5000 Odense C,4185000.0,2024,124,4,1,Fri handel
Gudrunvænget 3,"Næsby, 5270 Odense N",2120000.0,2024,134,4,2,Fri handel
Nellikevej 22,"Bellinge, 5250 Odense SV",2650000.0,2024,174,6,2,Fri handel
Lærkevej 15,"Korup, 5210 Odense NV",2275000.0,2024,137,6,1,Fri handel
H.P. Simonsens Allé 119,"Sanderum, 5250 Odense SV",3100000.0,2024,157,6,2,Fri handel
Askvej 42,"Dyrup, 5250 Odense SV",3595000.0,2024,161,5,2,Fri handel
Bådvej 62,5240 Odense NØ,1400000.0,2024,110,4,1,Fri handel
Sanderumvej 25,"Sanderum, 5250 Odense SV",1900000.0,2024,91,3,1,Fri handel
Odensevej 34,"Hjallese, 5260 Odense S",5285000.0,2024,136,6,2,Fri handel
Bækkelunds Have 41,"Villestofte, 5210 Odense NV",3195000.0,2024,135,5,2,Fri handel
Poppelvej 5,5230 Odense M,6300000.0,2024,150,6,3,Fri handel
"Borchsvej 26, st.","Bolbro, 5200 Odense V",2550000.0,2024,92,3,1,Fri handel
"Æbleparken 192, 3.","Søhus, 5270 Odense N",640000.0,2024,61,2,1,Fri handel
Virkensbjerget 46,"Sanderum, 5250 Odense SV",1875000.0,2024,110,4,1,Fri handel
"Borchsvej 26, 1.","Bolbro, 5200 Odense V",2550000.0,2024,65,3,1,Fri handel
Højbyvej 74B,"Højby, 5260 Odense S",1799000.0,2024,110,5,1,Fri handel
"Floravænget 76, st.","Dalum, 5250 Odense SV",780000.0,2024,58,2,1,Fri handel
Agerhønevænget 13,"Kirkendrup, 5270 Odense N",3875000.0,2024,148,5,2,Fri handel
Risingsvej 5,5000 Odense C,1950000.0,2024,84,5,1,Fri handel
Bispeengen 113,"Anderup, 5270 Odense N",2475000.0,2024,170,6,2,Fri handel
Kancellivej 4,"Bolbro, 5200 Odense V",2765000.0,2024,130,4,2,Fri handel
Ellekratvej 11,"Ejlstrup, 5200 Odense V",1245000.0,2024,91,4,1,Fri handel
"Åløkkehaven 37, 1.",5000 Odense C,2376000.0,2024,85,3,1,Fri handel
Højvang 95,"Næsby, 5270 Odense N",1060000.0,2024,75,4,1,Fri handel
Helleløkken 3,"Brændekilde, 5250 Odense SV",945000.0,2024,104,4,1,Fri handel
Borchsvej 2,"Bolbro, 5200 Odense V",2050000.0,2024,95,4,2,Fri handel
"Åløkkehaven 37, st.",5000 Odense C,2376000.0,2024,85,3,2,Fri handel
Rismarksvej 18,"Bolbro, 5200 Odense V",1495000.0,2024,126,4,2,Fri handel
Ugletoften 211,"Højby, 5260 Odense S",1750000.0,2024,109,4,2,Fri handel
Lykkeshåbs Allé 15,"Dalum, 5250 Odense SV",3361000.0,2024,111,3,1,Fri handel
Bellingehøjen 41,"Bellinge, 5250 Odense SV",1500000.0,2024,104,5,2,Fri handel
Rasmus Rasks Allé 83,"Bellinge, 5250 Odense SV",2300000.0,2024,148,5,2,Fri handel
"Carl Nielsens Kvarter 17, 1. 2.",5000 Odense C,3750000.0,2024,128,3,2,Fri handel
Langkærgårdvænget 6,"Næsbyhoved-Broby, 5270 Odense N",2650000.0,2024,186,5,2,Fri handel
H.P. Simonsens Allé 131,"Sanderum, 5250 Odense SV",2350000.0,2024,142,6,2,Fri handel
Kildegårdsvej 287,5240 Odense NØ,1425000.0,2024,112,5,1,Fri handel
Højby Allé 13,"Højby, 5260 Odense S",1475000.0,2024,89,3,1,Fri handel
Æblevænget 12,"Ejlstrup, 5200 Odense V",1680000.0,2024,110,4,1,Fri handel
"Fuglebakken 38D, 1.","Snestrup, 5210 Odense NV",605000.0,2024,48,2,1,Fri handel
Vokshatten 8,"Tornbjerg, 5220 Odense SØ",2470000.0,2024,123,4,2,Fri handel
Henriettevej 54,5000 Odense C,3230000.0,2024,140,6,3,Fri handel
Guldøjevænget 78,"Hjallese, 5260 Odense S",1635000.0,2024,83,4,1,Fri handel
Daltoften 57,"Agedrup, 5320 Agedrup",2775000.0,2024,161,6,2,Fri handel
"Hørdumsgade 8, 1.",5000 Odense C,2160000.0,2024,68,3,1,Fri handel
Heklavej 16,"Paarup, 5210 Odense NV",2275000.0,2024,99,4,1,Fri handel
Blåbærvej 190,"Hjallese, 5260 Odense S",1500000.0,2024,86,3,1,Fri handel
Lollandsgade 37,5000 Odense C,2095000.0,2024,103,4,1,Fri handel
Prins Valdemars Vej 1,5000 Odense C,5160000.0,2024,146,6,2,Fri handel
"Hørdumsgade 8, st.",5000 Odense C,2160000.0,2024,70,3,1,Fri handel
Rådyrvej 28,"Slukefter, 5210 Odense NV",1180000.0,2024,92,4,1,Fri handel
"Østervænget 2, st.",5000 Odense C,1725000.0,2024,83,3,1,Fri handel
Christen Kolds Vej 9,5000 Odense C,1995000.0,2024,110,5,2,Fri handel
"Tolderlundsvej 76, st. th.",5000 Odense C,1312500.0,2024,63,2,1,Fri handel
"Lotusvej 12, 1. th.","Sanderum, 5250 Odense SV",920000.0,2024,64,2,1,Fri handel
Brændekildevej 33,"Bellinge, 5250 Odense SV",1445000.0,2024,96,4,1,Fri handel
Miovænget 22,"Søhus, 5270 Odense N",1285000.0,2024,85,4,1,Fri handel
Rugvang 7,"Tarup, 5210 Odense NV",2200000.0,2024,99,4,1,Fri handel
Rugårdsvej 606,"Slukefter, 5210 Odense NV",1800000.0,2024,251,7,2,Fri handel
Skt. Jørgens Gade 142,5000 Odense C,2210000.0,2024,158,6,2,Fri handel
Njalsvej 33,"Højstrup, 5210 Odense NV",1720000.0,2024,87,4,1,Fri handel
Anne Maries Allé 30,"Sanderum, 5250 Odense SV",5700000.0,2024,141,5,3,Fri handel
"Skt. Knuds Kirkestræde 15, 2.",5000 Odense C,2800000.0,2024,127,3,1,Fri handel
Ærøgade 47,5000 Odense C,1895000.0,2024,88,4,1,Fri handel
Krogtoften 5,"Over Holluf, 5220 Odense SØ",3150000.0,2024,150,6,1,Fri handel
Vibekevej 63,"Dyrup, 5250 Odense SV",2500000.0,2024,164,5,2,Fri handel
Humlebivænget 5,"Hjallese, 5260 Odense S",1475000.0,2024,73,3,1,Fri handel
"Dalumvej 68, 1.","Dalum, 5250 Odense SV",1405000.0,2024,70,2,1,Fri handel
Skovgyden 52,5230 Odense M,4200000.0,2024,113,5,2,Fri handel
Kanefarten 43,"Lumby, 5270 Odense N",2200000.0,2024,163,4,2,Fri handel
Gransangervej 21,"Snestrup, 5210 Odense NV",3450000.0,2024,207,7,3,Fri handel
Kærnehøjvej 81,"Højby, 5260 Odense S",1550000.0,2024,105,4,1,Fri handel
Roers Allé 36,"Tarup, 5210 Odense NV",2625000.0,2024,136,5,1,Fri handel
"Nansensgade 15, 1. tv.",5000 Odense C,1300000.0,2024,64,2,1,Fri handel
Musvågevej 111,"Snestrup, 5210 Odense NV",1640000.0,2024,110,2,1,Fri handel
"Westermannsvej 14, 1.",5230 Odense M,2675000.0,2024,80,3,1,Fri handel
Turkisvej 57,"Tarup, 5210 Odense NV",1550000.0,2024,80,3,1,Fri handel
Hjertegræsvej 38,"Slukefter, 5210 Odense NV",2745000.0,2024,169,7,2,Fri handel
"Nørrevænget 22, 1.",5000 Odense C,4250000.0,2024,193,7,2,Fri handel
Nyvangsvej 36B,5000 Odense C,1235000.0,2024,50,2,1,Fri handel
Åsumvej 307,5240 Odense NØ,1825000.0,2024,166,4,2,Fri handel
Øksnebjergvej 15,5230 Odense M,2400000.0,2024,92,3,1,Fri handel
Stigevej 333,"Stige, 5270 Odense N",3200000.0,2024,186,4,2,Fri handel
Søparken 12,"Hjallese, 5260 Odense S",2900000.0,2024,166,5,3,Fri handel
Klaus Berntsens Vej 166,"Højby, 5260 Odense S",2225000.0,2024,138,4,1,Fri handel
Helgavej 20,5230 Odense M,8075000.0,2024,171,10,2,Fri handel
Brobygårdvej 13,5230 Odense M,2095000.0,2024,112,4,1,Fri handel
Majas Allé 21A,"Dalum, 5250 Odense SV",3595000.0,2024,164,5,2,Fri handel
Annelisevænget 10,"Næsby, 5270 Odense N",1700000.0,2024,93,3,1,Fri handel
Ejby Møllevej 7,5000 Odense C,3350000.0,2024,116,4,2,Fri handel
Kallerupvej 74,5230 Odense M,2835000.0,2024,149,7,2,Fri handel
"Gyldenløvesgade 1, st. th.",5000 Odense C,1275000.0,2024,78,3,1,Fri handel
Svendborgvej 50,"Hjallese, 5260 Odense S",2599000.0,2024,131,3,2,Fri handel
Åsumvej 591,5240 Odense NØ,1600000.0,2024,110,4,2,Fri handel
Mejlholmgade 83,5000 Odense C,2900000.0,2024,106,4,1,Fri handel
Åsumvej 365,5240 Odense NØ,1715000.0,2024,110,3,1,Fri handel
Pilevej 26,"Ejlstrup, 5200 Odense V",1495000.0,2024,118,4,1,Fri handel
Smedevænget 19,5230 Odense M,5650000.0,2024,194,5,3,Fri handel
Kamillevænget 13,"Kirkendrup, 5270 Odense N",4925000.0,2024,191,1,2,Fri handel
Lyøgade 34,5000 Odense C,5150000.0,2024,150,7,2,Fri handel
Thordahls Allé 1,"Dalum, 5250 Odense SV",2200000.0,2024,114,5,1,Fri handel
"Promenadebyen 6, 1. tv.",5000 Odense C,4497000.0,2024,144,3,1,Fri handel
Karenvænget 18,"Næsby, 5270 Odense N",2300000.0,2024,169,7,2,Fri handel
Markledet 4,"Birkum, 5220 Odense SØ",2295000.0,2024,179,5,3,Fri handel
"Heliosvænget 42, 2. 2.","Dalum, 5250 Odense SV",1135000.0,2024,84,3,1,Fri handel
Brandsøvænget 10,5000 Odense C,2150000.0,2024,87,4,1,Fri handel
Svanevej 22,5000 Odense C,3950000.0,2024,150,5,3,Fri handel
Mosegårdsvej 32,5000 Odense C,1725000.0,2024,162,6,2,Fri handel
"Fengersvej 9, st.",5230 Odense M,2500000.0,2024,103,3,1,Fri handel
"Dronningensgade 101, 1.",5000 Odense C,2330000.0,2024,99,3,2,Fri handel
Prins Haralds Allé 93,"Sanderum, 5250 Odense SV",2425000.0,2024,98,3,1,Fri handel
Espestok 46,"Gammel Korup, 5210 Odense NV",3000000.0,2024,196,5,1,Fri handel
Tirsvej 17,"Bolbro, 5200 Odense V",3395000.0,2024,131,5,2,Fri handel
Ranunkelvænget 7,"Dyrup, 5250 Odense SV",3325000.0,2024,169,7,2,Fri handel
Dragebakken 222,"Sanderum, 5250 Odense SV",1395000.0,2024,72,3,1,Fri handel
Ågade 38,"Næsby, 5270 Odense N",3400000.0,2024,157,5,2,Fri handel
Åbakken 7,"Bellinge, 5250 Odense SV",1750000.0,2024,126,4,2,Fri handel
Bronzevej 19A,"Bellinge, 5250 Odense SV",1910000.0,2024,188,6,2,Fri handel
Bronzevej 19F,"Bellinge, 5250 Odense SV",1910000.0,2024,178,5,2,Fri handel
"Østervænget 2, 2.",5000 Odense C,1495000.0,2024,66,2,1,Fri handel
Munkebjergvej 114,5230 Odense M,3725000.0,2024,156,7,2,Fri handel
Hverringevej 20,5230 Odense M,4700000.0,2024,156,6,2,Fri handel
Flintagergårdvej 69,"Bellinge, 5250 Odense SV",3800000.0,2024,150,5,2,Fri handel
Fuglebakken 242,"Snestrup, 5210 Odense NV",1923000.0,2024,105,5,1,Fri handel
"Kanalvej 70, 1.",5000 Odense C,4000000.0,2024,159,5,1,Fri handel
Gerthasminde 13,5000 Odense C,5195000.0,2024,96,5,2,Fri handel
Engblommen 12,"Fraugde, 5220 Odense SØ",3825000.0,2024,180,5,2,Fri handel
"Kanalvej 70, st.",5000 Odense C,4000000.0,2024,91,3,1,Fri handel
Snerlevænget 55,"Sanderum, 5250 Odense SV",1475000.0,2024,139,5,2,Fri handel
Sparretornvej 23,5230 Odense M,2275000.0,2024,129,3,1,Fri handel
Rensdyrløkken 135,"Slukefter, 5210 Odense NV",1150000.0,2024,91,4,1,Fri handel
Kronhjortløkken 230,"Korup, 5210 Odense NV",1685000.0,2024,132,5,2,Fri handel
Tranehøjen 130,"Dyrup, 5250 Odense SV",1400000.0,2024,99,4,1,Fri handel
Hestehøjvej 148,"Højby, 5260 Odense S",1735000.0,2024,116,4,2,Fri handel
Store Glasvej 8,5000 Odense C,3225000.0,2024,146,5,2,Fri handel
"Store Glasvej 8, 1.",5000 Odense C,3225000.0,2024,64,3,1,Fri handel
Ingrids Allé 34,"Dalum, 5250 Odense SV",3160000.0,2024,103,4,1,Fri handel
Ingemannsvej 28,5230 Odense M,4100000.0,2024,132,5,2,Fri handel
Hesbjergvænget 21,5230 Odense M,2730000.0,2024,89,4,1,Fri handel
Bjergmarken 63,"Hjallese, 5260 Odense S",2320000.0,2024,97,4,1,Fri handel
"Carl Nielsens Kvarter 17, 2. 1.",5000 Odense C,3100000.0,2024,107,3,1,Fri handel
Ærtebjerggårdvej 35,"Kirkendrup, 5270 Odense N",3150000.0,2024,213,7,2,Fri handel
Tybrindvænget 8,5230 Odense M,1500000.0,2024,106,4,1,Fri handel
Munkevænget 4,5230 Odense M,5150000.0,2024,110,4,2,Fri handel
Skt. Jørgens Engen 47,5000 Odense C,3500000.0,2024,100,4,2,Fri handel
Lupinvej 27,"Tarup, 5210 Odense NV",3575000.0,2024,158,6,2,Fri handel
"Henriettevej 3B, 3. tv.",5000 Odense C,2025000.0,2024,80,3,1,Fri handel
Høgevænget 16,"Snestrup, 5210 Odense NV",2365000.0,2024,124,5,2,Fri handel
Muslingevej 41,"Seden, 5240 Odense NØ",1950000.0,2024,116,4,2,Fri handel
Lykkevænget 17,"Tarup, 5210 Odense NV",4250000.0,2024,123,4,3,Fri handel
Degnevænget 1,"Næsby, 5270 Odense N",1800000.0,2024,110,4,1,Fri handel
"Vestre Stationsvej 12B, st. tv.",5000 Odense C,1465000.0,2024,73,3,1,Fri handel
Thorupvej 73,"Thorup, 5220 Odense SØ",2150000.0,2024,167,5,1,Fri handel
Præstevænget 14,"Korup, 5210 Odense NV",1945000.0,2024,143,5,1,Fri handel
H.P. Simonsens Allé 39,"Sanderum, 5250 Odense SV",5295000.0,2024,179,5,2,Fri handel
Rikkesminde Allé 6,"Dalum, 5250 Odense SV",2795000.0,2024,100,3,2,Fri handel
Bytoften 19,"Snestrup, 5210 Odense NV",1620000.0,2024,80,3,1,Fri handel
Mejlholmgade 103,5000 Odense C,2425000.0,2024,84,4,1,Fri handel
"Højløkke Allé 29, kl.","Næsby, 5270 Odense N",3500000.0,2024,68,2,1,Fri handel
Rønnebærvangen 15,"Korup, 5210 Odense NV",2500000.0,2024,158,5,1,Fri handel
Rylevej 1,5000 Odense C,2200000.0,2024,107,4,2,Fri handel
"Højløkke Allé 29, st.","Næsby, 5270 Odense N",3500000.0,2024,95,2,1,Fri handel
"Nørregade 45C, st.",5000 Odense C,1900000.0,2024,94,2,1,Fri handel
Skovhaven 71,"Bullerup, 5320 Agedrup",2475000.0,2024,159,5,2,Fri handel
Paarupvej 20,"Snestrup, 5210 Odense NV",1150000.0,2024,63,3,1,Fri handel
"Højløkke Allé 29, 1.","Næsby, 5270 Odense N",3500000.0,2024,145,4,1,Fri handel
Lind Hansens Vej 54,5000 Odense C,4475000.0,2024,204,4,2,Fri handel
"Nansensgade 20, 1. th.",5000 Odense C,1500000.0,2024,64,3,1,Fri handel
Allesøvej 5,"Allesø, 5270 Odense N",8000000.0,2024,389,2,2,Fri handel
Kirkestenten 10,"Skt Klemens, 5260 Odense S",3250000.0,2024,162,5,2,Fri handel
Højby Allé 53,"Højby, 5260 Odense S",1725000.0,2024,100,3,1,Fri handel
"Rødegårdsvej 47, 1. tv.",5000 Odense C,1350000.0,2024,66,2,1,Fri handel
Tietgens Allé 17,5230 Odense M,2345000.0,2024,187,7,2,Fri handel
Snedronningen 20,"Seden, 5240 Odense NØ",3700000.0,2024,165,4,2,Fri handel
"Fabersgade 3, 1.",5000 Odense C,1325000.0,2024,73,3,1,Fri handel
"Brogade 5, 1. th.",5000 Odense C,750000.0,2024,65,2,1,Fri handel
Mejlholmgade 91,5000 Odense C,1995000.0,2024,83,3,1,Fri handel
Mejlholmgade 59,5000 Odense C,2100000.0,2024,78,3,1,Fri handel
Vesterløkken 6,"Villestofte, 5210 Odense NV",1650000.0,2024,100,4,1,Fri handel
Torpvej 10,"Hjallese, 5260 Odense S",400000.0,2024,144,5,2,Fri handel
Morbærhaven 14,"Bullerup, 5320 Agedrup",2250000.0,2024,160,5,2,Fri handel
Giersingvænget 18,5220 Odense SØ,2395000.0,2024,101,4,1,Fri handel
Musvågevej 13,"Snestrup, 5210 Odense NV",2175000.0,2024,125,4,1,Fri handel
Lucernevej 5,"Tarup, 5210 Odense NV",1970000.0,2024,96,4,1,Fri handel
Egholmen 98,"Seden, 5240 Odense NØ",1850000.0,2024,143,5,2,Fri handel
Hødersvej 11,"Bolbro, 5200 Odense V",1975000.0,2024,107,2,1,Fri handel
Glentevej 33,5000 Odense C,3100000.0,2024,174,6,3,Fri handel
Mågebakken 118,"Sanderum, 5250 Odense SV",3995000.0,2024,175,6,2,Fri handel
Nørrevænget 51,5000 Odense C,6495000.0,2024,140,6,3,Fri handel
Nr. Lyndelse Vej 3,"Højby, 5260 Odense S",1150000.0,2024,110,4,1,Fri handel
Hørdumsgade 6,5000 Odense C,3430000.0,2024,140,4,2,Fri handel
Hesbjergvænget 24,5230 Odense M,2300000.0,2024,92,4,1,Fri handel
"Rødegårdsvej 61, 3. tv.",5000 Odense C,1340000.0,2024,64,2,1,Fri handel
"Holmehusvej 83, 1. th.",5000 Odense C,1150000.0,2024,56,2,1,Fri handel
Tundragræsset 13,"Fraugde, 5220 Odense SØ",1870000.0,2024,108,4,1,Fri handel
"Skt. Jørgens Gade 138, st.",5000 Odense C,1595000.0,2024,46,2,1,Fri handel
"Skt. Jørgens Gade 138, 2.",5000 Odense C,1595000.0,2024,38,2,1,Fri handel
Nattergalen 7,"Næsby, 5270 Odense N",2360000.0,2024,119,4,2,Fri handel
"Skt. Jørgens Gade 138, 1.",5000 Odense C,1595000.0,2024,46,2,1,Fri handel
Højstrupvangen 38,"Bolbro, 5200 Odense V",1420000.0,2024,60,2,1,Fri handel
Skt. Jørgens Gade 59,5000 Odense C,1700000.0,2024,58,2,1,Fri handel
Skt. Hans Gade 5,5000 Odense C,3200000.0,2024,110,3,1,Fri handel
Hesbjergvænget 13,5230 Odense M,3075000.0,2024,110,4,1,Fri handel
Arendalsvej 21,"Bullerup, 5320 Agedrup",1945000.0,2024,117,4,1,Fri handel
Anne Maries Allé 17,"Sanderum, 5250 Odense SV",3845000.0,2024,106,5,1,Fri handel
"Thune Nielsens Vej 7B, st. th.","Næsby, 5270 Odense N",1500000.0,2024,277,10,3,Fri handel
"Carl Nielsens Kvarter 53, 2. th.",5000 Odense C,5400000.0,2024,139,6,2,Fri handel
"Nansensgade 17, st. th.",5000 Odense C,1200000.0,2024,61,2,1,Fri handel
"Aulkærvænget 14, st. 8.","Højby, 5260 Odense S",550000.0,2024,34,1,1,Fri handel
Sanderumgårdvej 1,"Davinde, 5220 Odense SØ",2400000.0,2024,232,2,1,Fri handel
Søparken 103,"Hjallese, 5260 Odense S",2350000.0,2024,169,6,2,Fri handel
Sleppevangen 43,"Søhus, 5270 Odense N",1645000.0,2024,110,4,1,Fri handel
Skt. Knuds Gade 18B,5000 Odense C,2095000.0,2024,77,3,1,Fri handel
Njalsvej 106,"Højstrup, 5210 Odense NV",1560000.0,2024,78,4,1,Fri handel
Hunderupvej 164,5230 Odense M,6700000.0,2024,203,6,2,Fri handel
Blåbærvej 41,"Hjallese, 5260 Odense S",2725000.0,2024,115,3,1,Fri handel
Henriettevej 3A,5000 Odense C,2200000.0,2024,111,3,1,Fri handel
"Borgervænget 8, 1.",5000 Odense C,2725000.0,2024,130,4,2,Fri handel
Tønnesvej 7,"Søhus, 5270 Odense N",2900000.0,2024,180,6,3,Fri handel
Lindholmvej 1C,"Bellinge, 5250 Odense SV",2660000.0,2024,100,4,2,Fri handel
Borchsvej 1,"Bolbro, 5200 Odense V",1190000.0,2024,116,5,3,Fri handel
Paulinevænget 46,"Lumby, 5270 Odense N",3075000.0,2024,160,5,2,Fri handel
Rullekrovej 13,"Søhus, 5270 Odense N",2150000.0,2024,117,5,1,Fri handel
Store Klaus 49,"Næsby, 5270 Odense N",3200000.0,2024,168,5,2,Fri handel
"Floravænget 9, 1. tv.","Dalum, 5250 Odense SV",940000.0,2024,66,2,1,Fri handel
Allesøvej 103,"Lumby-Torp, 5270 Odense N",1200000.0,2024,162,7,1,Fri handel
Abels Allé 51,"Sanderum, 5250 Odense SV",4700000.0,2024,187,7,3,Fri handel
Egholmen 53,"Seden, 5240 Odense NØ",900000.0,2024,100,4,1,Fri handel
Åhaven 2,"Næsby, 5270 Odense N",2200000.0,2024,92,4,1,Fri handel
Stubhøjvænget 1,"Hjallese, 5260 Odense S",2145000.0,2024,94,3,1,Fri handel
Æbleskivegyden 33,"Allesø, 5270 Odense N",800000.0,2024,130,4,2,Fri handel
Søparken 142,"Hjallese, 5260 Odense S",3800000.0,2024,169,5,3,Fri handel
Vægtens Kvarter 135,"Holluf Pile, 5220 Odense SØ",1550000.0,2024,76,3,1,Fri handel
Ribstonvænget 14,"Søhus, 5270 Odense N",1875000.0,2024,85,4,1,Fri handel
Mejerivej 8,"Hjallese, 5260 Odense S",1930000.0,2024,103,3,1,Fri handel
Svenstrupvænget 2B,"Skt Klemens, 5260 Odense S",1945000.0,2024,96,4,1,Fri handel
"Dronningensgade 22A, 2. th.",5000 Odense C,2140000.0,2024,84,3,1,Fri handel
Byghøjvej 3,"Bellinge, 5250 Odense SV",2675000.0,2024,137,3,1,Fri handel
Lindvedparken 9,"Lindved, 5260 Odense S",1900000.0,2024,149,5,2,Fri handel
Ejersmindevej 39A,"Sanderum, 5250 Odense SV",2000000.0,2024,116,4,2,Fri handel
"Ågade 4, st.","Næsby, 5270 Odense N",925000.0,2024,100,3,1,Fri handel
Odensegyden 16,"Allesø, 5270 Odense N",710000.0,2024,124,4,1,Fri handel
Hjulets Kvarter 323,"Holluf Pile, 5220 Odense SØ",2100000.0,2024,100,4,1,Fri handel
Mælkehatten 39,"Tornbjerg, 5220 Odense SØ",3100000.0,2024,149,4,2,Fri handel
Fredemarksvej 87,"Vester Kærby, 5320 Agedrup",3900000.0,2024,292,7,2,Fri handel
Løkkevej 19,"Sanderum, 5250 Odense SV",2750000.0,2024,160,6,2,Fri handel
Klokkens Kvarter 62,"Holluf Pile, 5220 Odense SØ",1650000.0,2024,75,3,1,Fri handel
Slagkrogen 51,5220 Odense SØ,2495000.0,2024,113,4,2,Fri handel
"Skibhusvej 137, 2. th.",5000 Odense C,1100000.0,2024,70,2,1,Fri handel
Søndervænget 5,"Villestofte, 5210 Odense NV",1650000.0,2024,105,3,1,Fri handel
Roers Allé 37,"Tarup, 5210 Odense NV",3295000.0,2024,154,5,2,Fri handel
"Vindegade 100B, 1.",5000 Odense C,5300000.0,2024,245,7,2,Fri handel
Ingrid Marie Vænget 9,"Søhus, 5270 Odense N",950000.0,2024,80,3,1,Fri handel
Bjergmarken 44,"Hjallese, 5260 Odense S",2200000.0,2024,150,5,2,Fri handel
Chr. Richardts Vej 51,5230 Odense M,6200000.0,2024,165,6,2,Fri handel
Fuglebakken 114,"Snestrup, 5210 Odense NV",1750000.0,2024,112,4,1,Fri handel
"Floravænget 21, 2. mf.","Dalum, 5250 Odense SV",615000.0,2024,43,1,1,Fri handel
Hibiscusvej 106,5200 Odense V,1650000.0,2024,65,2,1,Fri handel
Emmavænget 3,"Næsby, 5270 Odense N",2825000.0,2024,150,6,1,Fri handel
Utzons Allé 12,5240 Odense NØ,3550000.0,2024,175,6,2,Fri handel
"Ternevej 119, st.","Snestrup, 5210 Odense NV",549000.0,2024,37,1,1,Fri handel
"Baumgartensvej 35, st.",5000 Odense C,2200000.0,2024,64,2,1,Fri handel
Gudrunvænget 4,"Næsby, 5270 Odense N",2500000.0,2024,131,3,1,Fri handel
"Middelfartvej 149, 2. tv.","Bolbro, 5200 Odense V",1200000.0,2024,73,3,1,Fri handel
Dalsvinget 16,"Næsby, 5270 Odense N",1925000.0,2024,175,5,2,Fri handel
Bellisvej 7,5000 Odense C,3600000.0,2024,134,6,2,Fri handel
Rosengade 13,5000 Odense C,3065000.0,2024,113,4,2,Fri handel
